                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                 1.4617,                 1.0479,                 1.1076,                0.60216,                0.59404,                0.62466,                0.42813,                 1.2708,                 1.3904,                0.99463,             0.00027084,             0.00027084,             0.00027084
                     51,                 1.4442,                 1.0407,                 1.0967,                0.63967,                0.56097,                0.63684,                0.43434,                 1.2742,                 1.3358,                0.99101,             0.00026563,             0.00026563,             0.00026563
                     52,                 1.4481,                 1.0243,                 1.1081,                0.60677,                0.58769,                0.62125,                0.42594,                 1.2399,                 1.3219,                0.98594,             0.00026042,             0.00026042,             0.00026042
                     53,                 1.4392,                 1.0182,                 1.0993,                0.61424,                 0.6802,                0.65832,                0.45408,                  1.273,                 1.2767,                0.99027,             0.00025522,             0.00025522,             0.00025522
                     54,                 1.4314,                 1.0143,                 1.1062,                0.65051,                0.62266,                0.66174,                0.44966,                 1.2458,                 1.3061,                0.97967,             0.00025001,             0.00025001,             0.00025001
                     55,                 1.4586,                   1.01,                 1.1098,                0.66622,                 0.5991,                0.63442,                0.41798,                  1.262,                 1.3068,                0.98726,              0.0002448,              0.0002448,              0.0002448
                     56,                 1.4547,                0.98997,                  1.102,                0.69677,                0.62032,                 0.6634,                0.42985,                 1.3002,                 1.2144,                 1.0001,             0.00023959,             0.00023959,             0.00023959
                     57,                 1.4599,                 1.0127,                 1.1037,                0.61138,                0.64178,                0.63949,                0.42988,                 1.2577,                 1.2728,                0.98381,             0.00023439,             0.00023439,             0.00023439
                     58,                 1.4264,                0.97912,                 1.0984,                0.63216,                0.56561,                0.64476,                0.44118,                 1.2446,                 1.2569,                0.98496,             0.00022918,             0.00022918,             0.00022918
                     59,                 1.4341,                0.99485,                 1.1026,                0.58889,                0.62566,                0.65673,                0.45267,                 1.2701,                 1.2268,                0.99416,             0.00022397,             0.00022397,             0.00022397
                     60,                 1.4245,                0.97339,                 1.0869,                0.70081,                0.61752,                0.65401,                0.46014,                 1.2479,                 1.2891,                0.98979,             0.00021876,             0.00021876,             0.00021876
                     61,                 1.4069,                 0.9534,                  1.095,                0.66842,                0.61886,                0.64477,                0.43875,                 1.2511,                 1.2418,                0.98674,             0.00021356,             0.00021356,             0.00021356
                     62,                 1.4058,                0.93599,                 1.0792,                0.56949,                0.61989,                0.64104,                0.44835,                 1.2522,                 1.2589,                0.98966,             0.00020835,             0.00020835,             0.00020835
                     63,                 1.3913,                 0.9385,                 1.0832,                0.58909,                0.65092,                0.65773,                0.45094,                 1.2743,                 1.3102,                 0.9951,             0.00020314,             0.00020314,             0.00020314
                     64,                 1.3893,                0.95441,                  1.076,                0.56006,                0.67442,                0.65011,                0.43164,                 1.2576,                 1.2817,                0.99172,             0.00019793,             0.00019793,             0.00019793
                     65,                 1.3871,                0.93253,                 1.0745,                0.53065,                0.69589,                0.62951,                0.42634,                 1.2597,                 1.3049,                0.99131,             0.00019273,             0.00019273,             0.00019273
                     66,                 1.3997,                0.94788,                 1.0804,                0.58694,                0.65899,                0.65216,                0.43363,                 1.2675,                 1.2382,                 1.0082,             0.00018752,             0.00018752,             0.00018752
                     67,                 1.4059,                0.92107,                 1.0755,                0.69606,                0.58168,                0.65879,                0.43618,                 1.2837,                 1.2363,                 1.0001,             0.00018231,             0.00018231,             0.00018231
                     68,                 1.3971,                0.94236,                 1.0783,                0.62744,                0.63042,                0.65416,                0.43279,                 1.2545,                 1.2614,                0.99403,              0.0001771,              0.0001771,              0.0001771
                     69,                 1.4066,                0.93398,                 1.0874,                0.71344,                0.57827,                 0.6545,                0.43908,                 1.2629,                 1.2525,                0.99602,              0.0001719,              0.0001719,              0.0001719
                     70,                 1.3768,                0.91392,                 1.0692,                 0.6732,                0.61834,                0.66184,                0.44234,                 1.2741,                 1.2599,                 1.0006,             0.00016669,             0.00016669,             0.00016669
                     71,                  1.363,                0.91408,                  1.073,                0.63128,                0.61838,                0.66075,                0.44194,                 1.2748,                 1.2448,                0.99662,             0.00016148,             0.00016148,             0.00016148
                     72,                 1.3853,                0.89919,                 1.0708,                0.72119,                0.60909,                0.65817,                0.45259,                 1.2607,                 1.2223,                0.99367,             0.00015627,             0.00015627,             0.00015627
                     73,                 1.3795,                0.89427,                 1.0692,                0.73792,                0.61586,                0.65826,                0.44782,                 1.2772,                 1.2262,                 1.0006,             0.00015107,             0.00015107,             0.00015107
                     74,                 1.3908,                 0.9067,                 1.0713,                0.63801,                0.66912,                0.66136,                0.44352,                 1.2659,                 1.2328,                0.99934,             0.00014586,             0.00014586,             0.00014586
                     75,                 1.3597,                0.90506,                 1.0672,                0.62767,                0.62864,                0.64194,                0.42544,                 1.2845,                 1.2749,                 1.0094,             0.00014065,             0.00014065,             0.00014065
                     76,                 1.3697,                0.89171,                 1.0581,                0.70977,                0.58504,                0.65146,                0.43233,                  1.248,                 1.2549,                0.98881,             0.00013544,             0.00013544,             0.00013544
                     77,                 1.3779,                 0.8948,                 1.0646,                0.71612,                0.61771,                 0.6571,                0.43104,                  1.276,                 1.2155,                0.99761,             0.00013024,             0.00013024,             0.00013024
                     78,                 1.3482,                0.87991,                 1.0567,                0.60228,                0.65175,                0.65203,                0.43252,                 1.2745,                 1.2148,                 0.9977,             0.00012503,             0.00012503,             0.00012503
                     79,                 1.3606,                0.87987,                 1.0671,                0.67078,                0.60438,                0.63757,                0.42988,                 1.2517,                 1.2612,                0.98824,             0.00011982,             0.00011982,             0.00011982
                     80,                 1.3444,                0.86847,                 1.0626,                0.60862,                0.63625,                0.64294,                0.42981,                 1.2535,                 1.2819,                0.99401,             0.00011462,             0.00011462,             0.00011462
                     81,                 1.3491,                0.87744,                 1.0675,                0.64615,                 0.6365,                0.65439,                0.44417,                 1.2506,                  1.262,                0.99029,             0.00010941,             0.00010941,             0.00010941
                     82,                 1.3334,                0.85933,                 1.0518,                0.64356,                0.61792,                0.65354,                0.44462,                 1.2532,                  1.265,                0.98997,              0.0001042,              0.0001042,              0.0001042
                     83,                  1.347,                0.86352,                  1.061,                0.62227,                0.63034,                0.64923,                0.43471,                 1.2646,                  1.257,                0.99694,             9.8993e-05,             9.8993e-05,             9.8993e-05
                     84,                 1.3425,                0.87433,                 1.0552,                0.64186,                0.61134,                0.65464,                 0.4313,                 1.2467,                 1.2533,                0.99088,             9.3786e-05,             9.3786e-05,             9.3786e-05
                     85,                 1.3366,                0.85344,                  1.053,                0.60909,                0.63608,                0.66168,                0.43604,                 1.2596,                 1.2495,                0.99662,             8.8578e-05,             8.8578e-05,             8.8578e-05
                     86,                 1.3305,                 0.8548,                 1.0439,                0.59034,                0.67733,                0.65902,                0.45328,                 1.2707,                 1.2581,                0.99705,             8.3371e-05,             8.3371e-05,             8.3371e-05
                     87,                 1.3271,                0.85717,                 1.0649,                0.61083,                0.67042,                0.64998,                0.43679,                 1.2601,                 1.2437,                0.99603,             7.8164e-05,             7.8164e-05,             7.8164e-05
                     88,                 1.3127,                0.84309,                 1.0474,                0.59884,                 0.6515,                0.65238,                0.45153,                 1.2618,                 1.2503,                0.99715,             7.2956e-05,             7.2956e-05,             7.2956e-05
                     89,                  1.313,                0.84909,                 1.0555,                0.59791,                0.64934,                0.65051,                0.45285,                 1.2527,                 1.2573,                0.99342,             6.7749e-05,             6.7749e-05,             6.7749e-05
                     90,                 1.3544,                0.90333,                 1.0777,                0.63699,                0.63513,                0.64134,                0.43895,                 1.2641,                 1.2599,                0.99823,             6.2541e-05,             6.2541e-05,             6.2541e-05
                     91,                  1.332,                  0.845,                 1.0613,                0.63226,                0.62316,                0.64022,                0.43717,                 1.2817,                 1.2734,                 1.0057,             5.7334e-05,             5.7334e-05,             5.7334e-05
                     92,                 1.3328,                0.83148,                  1.066,                0.65185,                0.63571,                0.64043,                0.44356,                  1.248,                 1.2745,                0.98942,             5.2127e-05,             5.2127e-05,             5.2127e-05
                     93,                 1.3159,                0.82237,                 1.0568,                0.64215,                0.61922,                0.63857,                0.44337,                 1.2646,                 1.2966,                0.99448,             4.6919e-05,             4.6919e-05,             4.6919e-05
                     94,                 1.3303,                 0.8149,                 1.0641,                0.64679,                0.63419,                0.64892,                 0.4392,                 1.2735,                 1.2741,                      1,             4.1712e-05,             4.1712e-05,             4.1712e-05
                     95,                 1.3135,                0.82074,                 1.0549,                0.62719,                0.65232,                 0.6531,                 0.4512,                 1.2614,                 1.2711,                0.99538,             3.6504e-05,             3.6504e-05,             3.6504e-05
                     96,                 1.3115,                0.80711,                 1.0558,                0.63587,                0.65986,                0.65526,                0.45274,                 1.2617,                 1.2724,                0.99778,             3.1297e-05,             3.1297e-05,             3.1297e-05
                     97,                 1.3009,                0.80582,                 1.0537,                0.64539,                0.60764,                0.65075,                0.45053,                 1.2593,                 1.2677,                0.99637,              2.609e-05,              2.609e-05,              2.609e-05
                     98,                 1.3016,                0.80133,                 1.0522,                0.65143,                0.63453,                0.65437,                0.45171,                 1.2568,                 1.2596,                0.99572,             2.0882e-05,             2.0882e-05,             2.0882e-05
                     99,                 1.2997,                0.79295,                 1.0503,                0.61625,                0.65033,                0.65115,                0.44595,                 1.2585,                 1.2733,                0.99626,             1.5675e-05,             1.5675e-05,             1.5675e-05
