                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                 1.1415,                0.60456,                 1.0703,                0.57383,                0.71692,                0.68292,                0.45246,                 1.3152,                0.82734,                 1.2467,             0.00074282,             0.00074282,             0.00074282
                     58,                 1.1328,                0.60827,                 1.0802,                0.87998,                0.83017,                0.88124,                0.61497,                 1.3167,                0.68071,                 1.2418,             0.00072631,             0.00072631,             0.00072631
                     59,                 1.0995,                0.59046,                 1.0727,                0.86224,                0.75423,                 0.9356,                0.64321,                 1.2874,                0.80711,                 1.2487,             0.00070981,             0.00070981,             0.00070981
                     60,                 1.0824,                 0.5608,                 1.0743,                  0.758,                0.75199,                0.83972,                0.55154,                 1.3968,                0.73569,                    1.3,             0.00069331,             0.00069331,             0.00069331
                     61,                 1.1281,                0.63415,                 1.0983,                0.94032,                0.77477,                0.93861,                0.64433,                 1.3155,                0.66848,                 1.2204,              0.0006768,              0.0006768,              0.0006768
                     62,                 1.1377,                0.60661,                 1.0969,                0.90054,                 0.8705,                0.94174,                0.64757,                 1.3184,                0.67893,                  1.238,              0.0006603,              0.0006603,              0.0006603
                     63,                 1.1352,                0.59371,                 1.0984,                0.48175,                0.50418,                0.49063,                0.32409,                 1.3088,                 1.0881,                 1.2386,              0.0006438,              0.0006438,              0.0006438
                     64,                 1.1472,                0.58853,                 1.0893,                0.37049,                0.43919,                0.44654,                0.29541,                 1.3234,                 1.1357,                 1.2514,             0.00062729,             0.00062729,             0.00062729
                     65,                 1.1381,                 0.6178,                 1.1012,                0.51307,                0.60586,                0.58609,                0.38189,                 1.3439,                0.99159,                 1.2768,             0.00061079,             0.00061079,             0.00061079
                     66,                 1.0692,                0.55733,                 1.0739,                0.54416,                0.71059,                0.63995,                0.44592,                 1.2645,                0.91318,                 1.2507,             0.00059429,             0.00059429,             0.00059429
                     67,                 1.0733,                0.55713,                 1.0627,                0.58188,                0.81131,                0.72609,                0.49563,                 1.2553,                0.84366,                 1.2217,             0.00057778,             0.00057778,             0.00057778
                     68,                 1.0728,                0.57342,                 1.0378,                0.76044,                0.66451,                0.74578,                 0.4928,                 1.2594,                0.83347,                 1.2227,             0.00056128,             0.00056128,             0.00056128
                     69,                 1.0923,                0.55702,                 1.0624,                 0.7567,                0.68054,                0.72784,                0.49479,                 1.2714,                0.86412,                 1.2292,             0.00054478,             0.00054478,             0.00054478
                     70,                 1.0621,                0.55699,                 1.0501,                0.50307,                0.63064,                0.65068,                0.43335,                 1.3311,                0.91348,                 1.2675,             0.00052827,             0.00052827,             0.00052827
                     71,                 1.0554,                0.54323,                 1.0825,                    0.5,                0.67563,                0.65176,                 0.4511,                 1.3095,                0.89663,                 1.2675,             0.00051177,             0.00051177,             0.00051177
                     72,                  1.067,                0.54088,                 1.0496,                0.95191,                0.90504,                0.96399,                0.67972,                 1.2792,                0.58178,                  1.235,             0.00049527,             0.00049527,             0.00049527
                     73,                 1.0435,                0.54557,                 1.0725,                0.96067,                0.88514,                 0.9599,                0.67253,                 1.3119,                0.61202,                 1.2641,             0.00047876,             0.00047876,             0.00047876
                     74,                  1.042,                0.52991,                 1.0788,                0.88794,                0.78119,                0.91726,                0.64949,                 1.2621,                0.69777,                 1.2176,             0.00046226,             0.00046226,             0.00046226
                     75,                 1.0399,                0.54452,                 1.0511,                0.71648,                0.73198,                0.75459,                0.53671,                 1.2468,                0.79433,                 1.2255,             0.00044576,             0.00044576,             0.00044576
                     76,                 1.0614,                0.53215,                 1.0482,                0.72424,                 0.7088,                0.73443,                0.48092,                 1.3432,                 0.8706,                 1.2616,             0.00042925,             0.00042925,             0.00042925
